message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent
Stiura handitostome ichiri typing error here This message was edited,True,neutral,greeting,[],False,[],False,[],False,chitchat
Hokey haa ndafunga hangu ndiite focus nedenga,True,unknown,general,[],False,[],False,['nedenga'],True,chitchat
Ndinofara ehe ndagadzirira tamirira imi mose,True,unknown,general,[],False,[],False,[],False,chitchat
Makadiiko nemhuri,True,unknown,general,[],False,[],False,[],False,chitchat
Thank you very much Sp and Apostle  wat a nice teachingSp ipo paye matotibata chaizvo tatotendeuka,True,positive,greeting,[],False,[],False,"['and', 'a']",True,chitchat
Nhc kuseni,True,unknown,general,[],False,[],False,[],False,chitchat
Kna uchibva ktown unokwir DDF Chibwe woburukir paKenzim uchangobva paMagolise,True,unknown,greeting,[],False,[],False,[],False,chitchat
handisi kukupikisa iyo team huchi,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Happy bdae bhudhimay the Almighty keep on preserving you bvuudzwai mberi nekuramba muchichengetwa nashe,True,positive,greeting,[],False,[],False,['on'],True,chitchat
Taenda zveee,True,unknown,general,[],False,[],False,[],False,chitchat
Sad news nematambudziko sister Naomi our thoughts and prayers are with you,True,negative,religion,[],False,[],False,['and'],True,chitchat
takatendeuka  tikuzama wena kudzoka chaipo chaipo  todzibata kwaziwa Deacon,True,unknown,general,[],False,[],False,[],False,chitchat
Chiredxi zaka pfeeeee,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Kkkkk so see you tomorrow,True,unknown,general,[],False,[],False,['so'],True,chitchat
Madgyei  nhasi,True,unknown,general,[],False,[],False,[],False,chitchat
He will answer for him,True,neutral,greeting,[],False,[],False,"['he', 'him']",True,chitchat
Nematambudziko hama dzangu,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Kkkkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Pachena chaipomake sure kuti une nzara kkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Mamka cy kwamuri   Ivo Havasi kurara  hope,True,unknown,general,[],False,[],False,[],False,chitchat
Kwaiva kwakadirwa sugar uku,True,unknown,general,[],False,[],False,['uku'],True,chitchat
Makorokoto mai mwana handina kuzowana nguva yekukurukura nemi but I was having a lot zvandaida kuti titaure,True,unknown,general,[],False,[],False,"['i', 'a', 'zvandaida']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Greetings family,True,neutral,general,[],False,[],False,[],False,chitchat
thank  u Mudzingwa family,True,unknown,general,[],False,[],False,['u'],True,chitchat
Nekuti Paul anoti Ivai vateveri wangu seni ndirimuteveri wakristu,True,unknown,general,[],False,[],False,[],False,chitchat
Manga makaenda kupiko,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ichokwadiii kutiii ndokuenda ukuu safe journey  guys,True,unknown,greeting,[],False,"[{'term': 'safe', 'meaning': 'okay', 'category': 'expression', 'tone': 'casual', 'part_of_speech': 'adjective', 'variant_of': 'bho'}]",True,['safe'],True,chitchat
Kkkkkkkkkkk ok,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Mombe Pledges,True,neutral,general,[],False,[],False,[],False,chitchat
Ndibaba,True,unknown,general,[],False,[],False,[],False,chitchat
Asi handisati ndamboona varungu vakanamirana,True,unknown,general,[],False,[],False,[],False,chitchat
I am just thinking aloud hangu we need some flowers balloons banners and that white cover rekuvhara panze,True,neutral,greeting,[],False,[],False,"['i', 'am', 'and']",True,chitchat
Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Saka he chose the wrong group reku advertiser wrong target market,True,negative,general,[],False,[],False,['he'],True,chitchat
Ummmmm yaakutoda wemweya wacho wataure masvikiro awakaita,True,unknown,general,[],False,[],False,[],False,chitchat
Tiri munyasha Ev makadiwo imi,True,unknown,general,[],False,[],False,[],False,chitchat
Uri teacher we uno hr nhy,True,unknown,general,[],False,[],False,['uri'],True,chitchat
Sunday collection,True,neutral,general,[],False,[],False,[],False,chitchat
Netauro ne toothbrush wamwe ndewekuudxa zvese,True,unknown,general,[],False,[],False,['ne'],True,chitchat
Can you please add,True,neutral,general,[],False,[],False,[],False,chitchat
Wamudzisa pafon hre,True,unknown,general,[],False,[],False,[],False,chitchat
Happy birthday mai Evwe love you,True,positive,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Indeed She planted  Very Good Seeds   installed  Aunt Rest  peace Aunt  Good mothering Done,True,positive,general,[],False,[],False,[],False,chitchat
Hall yakanakisa iyi,True,unknown,general,[],False,[],False,[],False,chitchat
Youre welcome,True,positive,general,[],False,[],False,[],False,chitchat
Chingwa ndechangu ndichiriko Beterehema,True,unknown,greeting,[],False,[],False,[],False,chitchat
Bvunza fty,True,unknown,general,[],False,[],False,[],False,chitchat
Saka itiii was,True,unknown,general,[],False,[],False,[],False,chitchat
Baba,True,unknown,general,[],False,[],False,[],False,chitchat
Vanenge vakutoti Satanism yapinda muchurch,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Our Vids can be cartoons like to make them completely faceless,True,neutral,general,[],False,[],False,"['be', 'to']",True,chitchat
Thanks mzaya,True,unknown,general,[],False,[],False,['mzaya'],True,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Have received  dollars ecocash from sekuru Farai,True,neutral,finance,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Zvakafanana nekuti zvimbo zvanyamande zvinobvumidzwa hre,True,unknown,general,[],False,[],False,[],False,chitchat
Greetingsbrethren,True,neutral,general,[],False,[],False,[],False,chitchat
Itai fund raising yangu ndimboendawo kunoita ingirishi,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Galatians,True,unknown,general,[],False,[],False,[],False,chitchat
nokuti Mwari haazi Mwari wenyonganiso asi worugare sapakereke dzose dzavatsvene,True,unknown,religion,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ndoziva three chete,True,neutral,general,[],False,[],False,[],False,chitchat
Ummm,True,unknown,general,[],False,[],False,[],False,chitchat
Ipai vana ma sup,True,unknown,general,[],False,[],False,['ma'],True,chitchat
Yeah plus munofanira kuzvinakidza munhu wamwari,True,unknown,religion,[],False,[],False,[],False,chitchat
Thanks for directing,True,positive,general,[],False,[],False,[],False,chitchat
Ikuitirwa kupi nhamo iyi,True,unknown,general,[],False,[],False,[],False,chitchat
Tinosvinura isu,True,unknown,general,[],False,[],False,[],False,chitchat
Soryy,True,neutral,general,[],False,[],False,[],False,chitchat
Kkkkkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Vamwe vedu havasi pa aap ane waanoziva ndipeio,True,unknown,general,[],False,[],False,"['pa', 'ane']",True,chitchat
aaaa kule boe hre  mibvunzo yenyu iyi,True,unknown,general,[],False,[],False,[],False,chitchat
No Ndiwo maparidziro Acho Imi muri munhu wenyama Saka hazviite kuti ndisapfuure nepamukova wenyu ndichitaura nezvaKristu Ini ndakatoitawo zvekumu paridzirwawo,True,unknown,greeting,[],False,[],False,['muri'],True,chitchat
Another graduation Today vagadzwa Hosi yedengaGod the Almighty guide and bless us,True,neutral,general,[],False,[],False,"['yedengagod', 'and', 'us']",True,chitchat
Chero mukanyarara ndopatichati muri kugocha here musi wa uno Tiri kuzviziva kuti mune stress    vamwe dzesiki vamwe dze mamissed periods plus vamwe school  fees vamwe nema rents nanhasi,True,unknown,general,[],False,[],False,"['muri', 'wa']",True,chitchat
Ayewa kaa nhy,True,unknown,general,[],False,[],False,[],False,chitchat
Venue BINDURA KEREKE,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Who is Geza,True,neutral,general,[],False,[],False,['is'],True,chitchat
Tione kuti mapedza kuita zvamuri kuita muchabuda ne answer,True,unknown,general,[],False,[],False,"['kuita', 'kuita', 'ne']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Haaa iwewee ukuita hr nhy,True,unknown,general,[],False,[],False,['ukuita'],True,chitchat
