message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent,contexts
Hie Swit Mom,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Hi my dolliehow  are u,True,unknown,greeting,"[{'term': 'hi', 'meaning': 'Hi (code-mixed)', 'context': 'start_conversation', 'tone': 'code_mixed', 'variant_of': 'hie'}]",True,[],False,"['hi', 'u']",True,Greeting,['greeting']
By Gods grace am good Amai mwana venyu bhooooooo zvekuti,True,unknown,general,[],False,[],False,"['am', 'bhooooooo']",True,Family,"['family', 'religion']"
Sleep well everybody,True,unknown,general,[],False,[],False,[],False,general,['general']
Thanx  same to u   unodiwa mwana,True,unknown,general,[],False,[],False,"['to', 'u']",True,Family,"['family', 'appreciation']"
BREAKING NEWS MUSORO WATAPIWA MAKORE WAWANIKWA PAURI NEGIRAZI GIRAZI GURU REGURUVE MUTONGI GAVA MAENZANISE,True,unknown,general,[],False,[],False,[],False,general,['general']
Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Happy Mothers day,True,positive,general,[],False,[],False,[],False,Celebration,['celebration']
Mangwanani akanaka hama may the Lord bless us all today,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,['us'],True,Greeting,"['family', 'religion', 'greeting']"
Happy mothers day anamom vangulove u all,True,positive,general,[],False,[],False,['u'],True,Family,"['family', 'celebration', 'romantic']"
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Mangwanani akanakisa nemhuri uko muswere munyasha dzake,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,Greeting,"['family', 'friendship', 'greeting']"
Ana Sokostina ukoo,True,unknown,general,[],False,[],False,['ana'],True,general,['general']
