message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Hie Swit Mom,True,unknown,greeting,[],False,[],False,[],False,chitchat
Hi my dolliehow  are u,True,unknown,greeting,"[{'term': 'hi', 'meaning': 'Hi (code-mixed)', 'context': 'start_conversation', 'tone': 'code_mixed', 'variant_of': 'hie'}]",True,[],False,"['hi', 'u']",True,chitchat
By Gods grace am good Amai mwana venyu bhooooooo zvekuti,True,unknown,general,[],False,[],False,"['am', 'bhooooooo']",True,religion
Sleep well everybody,True,unknown,general,[],False,[],False,[],False,chitchat
Thanx  same to u   unodiwa mwana,True,unknown,general,[],False,[],False,"['to', 'u']",True,chitchat
BREAKING NEWS MUSORO WATAPIWA MAKORE WAWANIKWA PAURI NEGIRAZI GIRAZI GURU REGURUVE MUTONGI GAVA MAENZANISE,True,unknown,general,[],False,[],False,[],False,news
Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Happy Mothers day,True,positive,general,[],False,[],False,[],False,chitchat
Mangwanani akanaka hama may the Lord bless us all today,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,['us'],True,chitchat
Happy mothers day anamom vangulove u all,True,positive,general,[],False,[],False,['u'],True,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Mangwanani akanakisa nemhuri uko muswere munyasha dzake,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ana Sokostina ukoo,True,unknown,general,[],False,[],False,['ana'],True,chitchat
Makasimba hre hama dzangu munashe Vanamai vangu Happy mothers day makatikoshera mose zvenyu muswere munyasha dzake,True,unknown,greeting,"[{'term': 'makasimba', 'meaning': 'Are you well?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,chitchat
Makadiwo ana mum sokos,True,unknown,general,[],False,[],False,['ana'],True,chitchat
Happy mothers day ana Soko and Mukanyas U are all my mothers    Love all,True,positive,general,[],False,[],False,"['ana', 'and', 'u']",True,chitchat
Thank you daughter love yu,True,positive,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
AnaMukanya mese zvenyu Happy mothers day to you,True,positive,general,[],False,[],False,['to'],True,chitchat
Thank yu,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Tinotenda nekufarawo pakuremekedzwa  kwezuva rana mai vedu Tinokuremekedzai zvikuru vana mai vedu,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Happy Mothers day to you all vana Amai vangu,True,positive,general,[],False,[],False,['to'],True,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Magwanani akanaka Hama mose,True,unknown,general,[],False,[],False,[],False,chitchat
Tarara mararawo aiwa grace is upon us  Muswere munyasha hama,True,unknown,general,[],False,[],False,"['is', 'us']",True,religion
Mornings,True,unknown,general,[],False,[],False,[],False,chitchat
Morning morning,True,neutral,general,[],False,[],False,[],False,chitchat
Kuno TAMUTSWA zvedu hama,True,unknown,general,[],False,[],False,[],False,chitchat
A blessed and lovely morning to you all,True,positive,general,[],False,[],False,"['a', 'and', 'to']",True,religion
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Good morning family,True,positive,general,[],False,[],False,[],False,chitchat
Magwanani akanaka Hama mose Tamuka munyasha dzamwari,True,unknown,religion,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Morning morning hama,True,unknown,general,[],False,[],False,[],False,chitchat
PRESIDENT CYRIL RAMAPHOSA ANC IS GIVING FREE GB DATA AND RECHARGE R VOUCHER GIFTS TO SUPPORTERS,True,unknown,general,[],False,[],False,"['president', 'is', 'and', 'r', 'to']",True,chitchat
